P=0.24999999999975, blue=500000000000, delta=500000000000
P=0.0624999999998125, blue=250000000000.0, delta=250000000000.0
P=0.015624999999890626, blue=125000000000.0, delta=125000000000.0
P=0.0039062499999414062, blue=62500000000.0, delta=62500000000.0
P=0.0009765624999697266, blue=31250000000.0, delta=31250000000.0
P=0.00024414062498461913, blue=15625000000.0, delta=15625000000.0
P=6.103515624224854e-05, blue=7812500000.0, delta=7812500000.0
P=1.5258789058609008e-05, blue=3906250000.0, delta=3906250000.0
P=3.8146972636756896e-06, blue=1953125000.0, delta=1953125000.0
P=9.536743154306412e-07, blue=976562500.0, delta=976562500.0
P=2.3841857861351967e-07, blue=488281250.0, delta=488281250.0
P=5.9604644531309604e-08, blue=244140625.0, delta=244140625.0
P=1.4901160949721933e-08, blue=122070312.0, delta=122070313.0
P=3.7252900848425953e-09, blue=61035155.0, delta=61035157.0
P=9.313224143991313e-10, blue=30517576.0, delta=30517579.0
P=2.3283053493524284e-10, blue=15258786.0, delta=15258790.0
P=5.8207599401548206e-11, blue=7629391.0, delta=7629395.0
P=1.4551878869570553e-11, blue=3814693.0, delta=3814698.0
P=3.637959226995638e-12, blue=1907344.0, delta=1907349.0
P=9.094836078929095e-13, blue=953669.0, delta=953675.0
P=2.2736732573022738e-13, blue=476831.0, delta=476838.0
P=5.684004333205684e-14, blue=238412.0, delta=238419.0
P=1.4208997602014209e-14, blue=119202.0, delta=119210.0
P=3.551742812003552e-15, blue=59597.0, delta=59605.0
P=8.876526420008876e-16, blue=29794.0, delta=29803.0
P=2.2175677200022178e-16, blue=14892.0, delta=14902.0
P=5.536104000005536e-17, blue=7441.0, delta=7451.0
P=1.3797510000013798e-17, blue=3715.0, delta=3726.0
P=3.428052000003428e-18, blue=1852.0, delta=1863.0
P=8.454800000008456e-19, blue=920.0, delta=932.0
P=2.0566200000020567e-19, blue=454.0, delta=466.0
P=4.862000000004862e-20, blue=221.0, delta=233.0
P=1.0712000000010712e-20, blue=104.0, delta=117.0
P=1.9800000000019798e-21, blue=45.0, delta=59.0
P=2.1000000000021002e-22, blue=15.0, delta=30.0
P=-0.0, blue=0.0, delta=15.0
P=7.2000000000072e-23, blue=-8.0, delta=8.0
P=1.56000000000156e-22, blue=-12.0, delta=4.0
P=2.1000000000021e-22, blue=-14.0, delta=2.0
P=2.4000000000024e-22, blue=-15.0, delta=1.0
P=2.7200000000027197e-22, blue=-16.0, delta=1.0
P=3.06000000000306e-22, blue=-17.0, delta=1.0
P=3.42000000000342e-22, blue=-18.0, delta=1.0
P=3.8000000000038e-22, blue=-19.0, delta=1.0
P=4.2000000000042e-22, blue=-20.0, delta=1.0
P=4.620000000004619e-22, blue=-21.0, delta=1.0
P=5.060000000005061e-22, blue=-22.0, delta=1.0
P=5.52000000000552e-22, blue=-23.0, delta=1.0
P=6.0000000000060005e-22, blue=-24.0, delta=1.0
P=6.5000000000064995e-22, blue=-25.0, delta=1.0
P=7.0200000000070205e-22, blue=-26.0, delta=1.0
P=7.560000000007561e-22, blue=-27.0, delta=1.0
P=8.12000000000812e-22, blue=-28.0, delta=1.0
P=8.7000000000087e-22, blue=-29.0, delta=1.0
P=9.3000000000093e-22, blue=-30.0, delta=1.0
P=9.92000000000992e-22, blue=-31.0, delta=1.0
P=1.056000000001056e-21, blue=-32.0, delta=1.0
P=1.122000000001122e-21, blue=-33.0, delta=1.0
P=1.19000000000119e-21, blue=-34.0, delta=1.0
P=1.2600000000012601e-21, blue=-35.0, delta=1.0
P=1.3320000000013318e-21, blue=-36.0, delta=1.0
P=1.4060000000014061e-21, blue=-37.0, delta=1.0
P=1.482000000001482e-21, blue=-38.0, delta=1.0
P=1.5600000000015601e-21, blue=-39.0, delta=1.0
P=1.6400000000016398e-21, blue=-40.0, delta=1.0
P=1.722000000001722e-21, blue=-41.0, delta=1.0
P=1.806000000001806e-21, blue=-42.0, delta=1.0
P=1.892000000001892e-21, blue=-43.0, delta=1.0
P=1.98000000000198e-21, blue=-44.0, delta=1.0
P=2.07000000000207e-21, blue=-45.0, delta=1.0
P=2.162000000002162e-21, blue=-46.0, delta=1.0
P=2.256000000002256e-21, blue=-47.0, delta=1.0
P=2.3520000000023524e-21, blue=-48.0, delta=1.0
P=2.45000000000245e-21, blue=-49.0, delta=1.0
P=2.55000000000255e-21, blue=-50.0, delta=1.0
P=2.6520000000026516e-21, blue=-51.0, delta=1.0
P=2.756000000002756e-21, blue=-52.0, delta=1.0
P=2.862000000002862e-21, blue=-53.0, delta=1.0
P=2.97000000000297e-21, blue=-54.0, delta=1.0
P=3.08000000000308e-21, blue=-55.0, delta=1.0
P=3.192000000003192e-21, blue=-56.0, delta=1.0
P=3.3060000000033058e-21, blue=-57.0, delta=1.0
P=3.422000000003422e-21, blue=-58.0, delta=1.0
P=3.54000000000354e-21, blue=-59.0, delta=1.0
P=3.66000000000366e-21, blue=-60.0, delta=1.0
P=3.782000000003782e-21, blue=-61.0, delta=1.0
P=3.9060000000039065e-21, blue=-62.0, delta=1.0
P=4.0320000000040326e-21, blue=-63.0, delta=1.0
P=4.1600000000041595e-21, blue=-64.0, delta=1.0
P=4.29000000000429e-21, blue=-65.0, delta=1.0
P=4.422000000004423e-21, blue=-66.0, delta=1.0
P=4.5560000000045555e-21, blue=-67.0, delta=1.0
P=4.692000000004692e-21, blue=-68.0, delta=1.0
P=4.83000000000483e-21, blue=-69.0, delta=1.0
P=4.97000000000497e-21, blue=-70.0, delta=1.0
P=5.112000000005112e-21, blue=-71.0, delta=1.0
P=5.256000000005256e-21, blue=-72.0, delta=1.0
P=5.402000000005402e-21, blue=-73.0, delta=1.0
P=5.5500000000055505e-21, blue=-74.0, delta=1.0
P=5.700000000005701e-21, blue=-75.0, delta=1.0
P=5.852000000005852e-21, blue=-76.0, delta=1.0
P=6.006000000006007e-21, blue=-77.0, delta=1.0
P=6.162000000006162e-21, blue=-78.0, delta=1.0
P=6.32000000000632e-21, blue=-79.0, delta=1.0
